vendor_id,vendor_name,category,subcategory,risk_score,financial_health,location,size,contract_start,primary_contact,payment_terms,preferred_vendor_status,spend_volume_tier,contract_complexity,renewal_frequency,price_escalation_terms
V0026,Bass-Warner,IT,Cloud,7.05,Good,Lake Lisaport,Small,2024-05-25,mcmillandennis@example.org,Net 60,False,Medium,Low,Annual,Fixed
V0027,Newton and Sons,IT,Hardware,6.79,Average,Juanborough,Large,2023-12-11,james48@example.com,Net 45,False,Medium,High,Annual,Fixed
V0028,Whitehead-Mathis,IT,Hardware,9.04,Average,Lake Rodneyview,Small,2022-07-06,cookdavid@example.com,Net 45,False,Low,Low,Annual,Negotiated
V0029,Figueroa PLC,IT,Hardware,0.21,Average,Hoffmanville,Medium,2022-07-30,amydavenport@example.net,Net 60,False,Low,Low,Annual,CPI Linked
V0030,"Hernandez, Anderson and Parker",Operations,Logistics,3.19,Poor,West Jasonbury,Large,2023-11-02,gomezanita@example.com,Net 30,False,High,Medium,Biennial,Negotiated
V0031,"Brady, Frost and Young",Facilities,Cleaning,1.55,Average,Port Lisa,Medium,2024-04-16,vjohnson@example.com,Net 45,False,High,Low,Biennial,Negotiated
V0032,Pham-Shields,Operations,Logistics,3.1,Good,West Erik,Small,2023-11-28,reyesbenjamin@example.com,Net 45,True,Low,High,Biennial,Fixed
V0033,Gonzalez Group,Facilities,Cleaning,5.88,Average,Kevinbury,Medium,2022-11-22,kellerraymond@example.com,Net 30,False,Medium,Low,Annual,Fixed
V0034,Rasmussen LLC,HR,Training,9.12,Poor,Darlenefurt,Medium,2023-11-11,sheila14@example.org,Net 30,False,High,High,Biennial,Negotiated
V0035,"Estes, Baker and Rodriguez",Marketing,SEO,1.29,Average,Reedmouth,Small,2023-05-06,cruzbarbara@example.com,Net 60,False,Medium,Low,Biennial,CPI Linked
V0036,Fletcher Inc,Marketing,Digital Ads,3.16,Good,West Ryan,Medium,2023-10-30,cindy14@example.net,Net 45,True,Low,Medium,Biennial,CPI Linked
V0037,Estrada-Nguyen,Facilities,Maintenance,5.54,Poor,Angelaborough,Medium,2023-04-24,lbyrd@example.net,Net 60,False,Medium,Low,Biennial,Fixed
V0038,"Turner, Kelley and Smith",IT,Cloud,2.39,Good,Jasonshire,Large,2023-09-16,steven73@example.net,Net 30,False,Low,Low,Annual,Fixed
V0039,Leon-Moyer,Marketing,Events,7.61,Good,Lake Christopher,Large,2023-07-07,clarence34@example.org,Net 60,False,Medium,Medium,Biennial,Negotiated
V0040,Hernandez Inc,IT,Hardware,8.11,Average,South Cheryl,Large,2024-01-19,gibsonolivia@example.net,Net 60,True,Medium,Low,Biennial,CPI Linked
V0041,Higgins Group,Marketing,SEO,1.09,Poor,Rossberg,Medium,2023-10-24,staffordmichelle@example.org,Net 30,True,High,Medium,Annual,CPI Linked
V0042,Robinson-Brock,Marketing,SEO,5.54,Poor,Williamsbury,Small,2024-05-14,bryantlaurie@example.net,Net 30,False,High,High,Annual,CPI Linked
V0043,"Travis, Larson and Dodson",Operations,Logistics,4.19,Poor,Salazarhaven,Large,2023-04-29,vmerritt@example.com,Net 45,False,Low,Medium,Biennial,Negotiated
V0044,Green-Wright,Operations,Logistics,9.54,Poor,Katiehaven,Medium,2023-06-13,joshuajones@example.com,Net 30,False,Low,Medium,Annual,CPI Linked
V0045,Nelson LLC,Facilities,Cleaning,0.75,Average,East Edwardfurt,Large,2023-11-23,jasminebrown@example.com,Net 45,True,Low,Low,Biennial,Fixed
V0046,Daniels-Perry,Facilities,Cleaning,0.97,Poor,Port Robert,Small,2024-05-04,gateskathy@example.com,Net 45,True,Medium,Medium,Biennial,CPI Linked
V0047,Smith-Bell,Marketing,Digital Ads,5.21,Poor,Castanedachester,Small,2023-07-25,tracynelson@example.com,Net 45,False,Low,Medium,Annual,CPI Linked
V0048,Price Ltd,Marketing,SEO,7.53,Poor,Ramseymouth,Large,2024-05-16,tinaferguson@example.com,Net 45,True,Medium,High,Annual,CPI Linked
V0049,"Elliott, Johnson and Day",Operations,Utilities,0.92,Average,Port Steven,Large,2022-07-11,nicholas37@example.com,Net 60,False,Medium,Medium,Biennial,Negotiated
V0050,Juarez-Gray,Marketing,SEO,2.0,Average,Kingland,Large,2023-06-02,currybrett@example.com,Net 60,True,High,Low,Annual,Negotiated
V0051,Santos Ltd,Marketing,SEO,7.29,Poor,Port Anthonybury,Small,2022-11-03,howelljohn@example.com,Net 60,False,High,Low,Annual,CPI Linked
V0052,"Wilson, Gould and Marshall",HR,Recruiting,9.05,Poor,Katieburgh,Small,2023-09-15,stricklandfrank@example.com,Net 45,True,High,High,Biennial,Negotiated
V0053,Lane LLC,HR,Recruiting,0.4,Poor,Sandersborough,Medium,2022-07-31,curtisbarton@example.net,Net 30,True,Medium,Low,Annual,Fixed
V0054,"Trujillo, Hogan and Knight",Operations,Utilities,9.04,Good,West Amandastad,Medium,2022-07-25,alexander67@example.org,Net 60,False,Medium,Medium,Biennial,Negotiated
V0055,Yu-Reid,HR,Recruiting,1.79,Average,Zimmermanchester,Small,2022-10-16,christina87@example.com,Net 45,True,High,High,Biennial,CPI Linked
V0056,Petersen-Vargas,Facilities,Cleaning,9.7,Average,Melissaland,Large,2023-01-04,dsanchez@example.net,Net 60,True,High,High,Biennial,Fixed
V0057,"Barnett, Rogers and Snyder",IT,Hardware,5.39,Average,Hunterborough,Medium,2023-03-04,matthew94@example.net,Net 45,True,High,High,Annual,Negotiated
V0058,Black and Sons,IT,Software,3.35,Average,East Jenniferfort,Large,2023-08-07,hannahbrewer@example.com,Net 45,False,Medium,Medium,Biennial,Fixed
V0059,Mcguire-Davis,Marketing,SEO,1.6,Poor,South Heather,Medium,2023-01-25,thomas85@example.com,Net 45,True,Medium,Medium,Annual,Negotiated
V0060,"Pierce, Bell and Chavez",HR,Training,8.75,Good,Johnville,Large,2023-12-14,leslienewton@example.net,Net 30,False,High,High,Biennial,CPI Linked
V0061,Lee Ltd,HR,Training,0.34,Average,Hillshire,Small,2024-01-13,tina34@example.org,Net 30,False,Medium,Medium,Annual,CPI Linked
V0062,White-Smith,Facilities,Cleaning,9.13,Average,West Brandon,Small,2022-07-14,heidi27@example.org,Net 60,False,High,Low,Annual,Fixed
V0063,Andrews Group,Facilities,Maintenance,3.34,Good,Alexanderburgh,Large,2022-07-11,shelley71@example.org,Net 60,True,High,Medium,Annual,Negotiated
V0064,Vasquez-Ray,IT,Software,1.37,Poor,East Edwardshire,Small,2023-01-23,mcknightdavid@example.com,Net 45,False,Medium,Low,Annual,Negotiated
V0065,"Carlson, Montgomery and Rowe",Operations,Utilities,1.99,Poor,Hayesmouth,Large,2023-01-18,ntorres@example.org,Net 30,False,High,High,Biennial,Fixed
V0066,"Choi, Garcia and Farmer",Operations,Utilities,9.29,Poor,West Donna,Large,2022-10-01,glennjones@example.org,Net 30,True,Low,High,Biennial,Fixed
V0067,Hayes-Wheeler,Facilities,Cleaning,1.56,Average,Antonioport,Large,2023-12-03,jacqueline71@example.net,Net 30,True,Medium,High,Biennial,CPI Linked
V0068,Bradshaw Ltd,IT,Software,5.08,Poor,South Danny,Large,2022-11-23,rebekahserrano@example.org,Net 45,True,Low,High,Annual,Negotiated
V0069,Martin LLC,Operations,Logistics,8.96,Average,Scottmouth,Small,2023-11-18,holly48@example.net,Net 30,False,Low,Low,Biennial,Fixed
V0070,Kim-George,IT,Software,4.43,Poor,Navarroview,Medium,2022-06-22,perezemily@example.net,Net 45,True,High,Medium,Biennial,CPI Linked
V0071,"Sampson, Key and Chambers",Operations,Logistics,4.44,Average,Barbaraburgh,Medium,2023-06-02,lmoon@example.net,Net 30,True,Medium,Medium,Annual,Fixed
V0072,Walters-Vasquez,Facilities,Cleaning,2.35,Poor,South Michaelmouth,Small,2023-02-06,hodgemark@example.net,Net 60,False,Medium,High,Annual,CPI Linked
V0073,Roberts-Landry,Marketing,Events,3.07,Average,South Christopherview,Large,2023-02-08,cordovarichard@example.net,Net 30,False,High,Medium,Annual,CPI Linked
V0074,Sandoval PLC,IT,Cloud,8.78,Average,Gutierrezborough,Medium,2023-07-09,cindy77@example.org,Net 60,True,Medium,Medium,Annual,Fixed
V0075,Adams and Sons,HR,Training,2.96,Poor,Samuelfort,Medium,2022-09-04,dudleychelsea@example.org,Net 45,False,Low,Low,Biennial,CPI Linked
V0076,"Moore, Pierce and Tran",IT,Cloud,8.71,Average,East Victoriaville,Medium,2023-05-26,hollanderic@example.net,Net 60,False,Low,High,Annual,Negotiated
V0077,Hicks-Hill,Marketing,Digital Ads,2.52,Good,Bairdbury,Large,2023-05-22,patrickweeks@example.net,Net 30,True,High,Low,Biennial,CPI Linked
V0078,"Suarez, Shields and Hill",Marketing,SEO,4.8,Good,Morganhaven,Medium,2022-12-26,campbellkenneth@example.net,Net 45,True,Low,Medium,Biennial,Fixed
V0079,"Duarte, Burns and Hernandez",IT,Cloud,7.06,Average,Reedside,Small,2024-01-15,ugibson@example.org,Net 30,False,Medium,Low,Annual,CPI Linked
V0080,"Allen, Reyes and Chase",Operations,Utilities,8.41,Average,Williamsfort,Large,2023-12-01,qhughes@example.net,Net 30,True,Medium,Medium,Biennial,Fixed
V0081,Simpson Inc,HR,Recruiting,1.67,Good,New Tammy,Medium,2023-02-14,sawyerscott@example.net,Net 45,True,High,High,Biennial,Fixed
V0082,Smith-Thomas,Marketing,Digital Ads,2.03,Average,North Terrance,Small,2022-12-24,cindy61@example.com,Net 30,False,High,High,Annual,Negotiated
V0083,"Villarreal, James and Stewart",HR,Training,1.95,Good,Brennanton,Small,2023-09-24,younggabrielle@example.com,Net 45,False,High,High,Biennial,CPI Linked
V0084,Francis Group,Facilities,Cleaning,4.86,Average,Port Cynthiaville,Small,2023-05-12,heatherberger@example.org,Net 30,True,Low,Low,Annual,CPI Linked
V0085,Flynn-Carter,Facilities,Cleaning,6.91,Poor,Ryanbury,Medium,2023-07-19,yknight@example.org,Net 30,True,Medium,High,Annual,CPI Linked
V0086,Thompson PLC,Operations,Utilities,9.41,Good,Harveybury,Large,2023-06-23,jesselittle@example.com,Net 30,False,High,Medium,Biennial,Negotiated
V0087,Estrada-Nolan,Operations,Logistics,4.13,Poor,Santanaside,Small,2022-10-02,alexandermichael@example.net,Net 45,True,Medium,High,Annual,Fixed
V0088,Fowler-Coleman,Operations,Logistics,8.93,Good,Stephenport,Small,2022-11-03,gcastaneda@example.org,Net 45,False,High,Medium,Annual,CPI Linked
V0089,Armstrong-Andrews,IT,Software,2.09,Average,Andrewfurt,Small,2023-01-01,knightgina@example.net,Net 45,True,Low,High,Biennial,Fixed
V0090,Lozano Ltd,IT,Hardware,2.76,Poor,Wallport,Medium,2024-01-25,catherinegomez@example.net,Net 60,False,High,High,Annual,Fixed
V0091,Oliver Ltd,IT,Software,3.02,Average,Lake Colton,Medium,2023-10-02,parkerscott@example.net,Net 45,True,Medium,High,Biennial,Negotiated
V0092,Oconnor-Davis,Marketing,SEO,6.87,Good,Markchester,Small,2022-10-16,davidryan@example.com,Net 60,False,Low,High,Biennial,CPI Linked
V0093,"Shaw, Nelson and Martin",HR,Training,1.73,Poor,Coffeyport,Large,2024-01-02,linda71@example.org,Net 45,True,Medium,High,Annual,Negotiated
V0094,Dalton Ltd,IT,Cloud,8.52,Average,Coffeyside,Medium,2023-03-13,gibbsalexander@example.net,Net 45,False,Medium,Low,Biennial,Fixed
V0095,Gibson Ltd,HR,Recruiting,0.2,Good,Brendastad,Small,2022-08-25,thomasharvey@example.net,Net 45,True,Low,High,Annual,CPI Linked
V0096,Herman-Walker,Operations,Utilities,2.77,Poor,Lake Madisonport,Large,2023-10-19,cwilson@example.org,Net 30,False,Low,High,Biennial,Fixed
V0097,Ferrell-Wilson,IT,Cloud,9.48,Average,New Derek,Large,2023-05-20,ellen86@example.net,Net 30,True,Medium,Low,Annual,Fixed
V0098,"Barber, Mcclure and Pena",Marketing,Digital Ads,5.49,Average,Gilbertview,Large,2022-06-27,jeff73@example.com,Net 30,False,Low,High,Annual,Fixed
V0099,Pollard LLC,Operations,Utilities,9.39,Average,Bruceview,Small,2022-10-27,rushmadison@example.org,Net 60,False,Medium,High,Biennial,Fixed
V0100,"Lewis, Fowler and Maddox",Operations,Utilities,2.87,Average,Port Matthewberg,Large,2024-02-03,caseyhubbard@example.org,Net 45,True,Medium,Medium,Biennial,Negotiated
V0101,"Robinson, Kane and Murphy",Operations,Utilities,3.88,Average,Port Rachel,Large,2022-06-04,michele22@example.net,Net 60,True,Medium,Medium,Biennial,Negotiated
V0102,Lindsey-Rodriguez,HR,Training,6.78,Average,East Alexisbury,Large,2023-09-02,alfred40@example.org,Net 45,False,Low,Low,Biennial,Fixed
V0103,"Fisher, Wilson and Brown",IT,Cloud,7.68,Good,Stricklandhaven,Medium,2023-09-06,hayesjeffrey@example.net,Net 30,False,Low,Medium,Biennial,Fixed
V0104,Acosta Ltd,Operations,Utilities,5.25,Average,Stephentown,Large,2022-07-19,bboone@example.net,Net 45,True,Medium,Medium,Biennial,Negotiated
V0105,Henry Group,Operations,Utilities,3.69,Poor,North Marcberg,Small,2022-07-23,joshuaschultz@example.net,Net 60,True,Low,Medium,Biennial,Negotiated
V0106,"Nguyen, Vang and Schmidt",IT,Hardware,1.8,Poor,Wagnerchester,Small,2022-08-18,farrelldebra@example.net,Net 30,False,High,High,Annual,Fixed
V0107,"Glenn, Jordan and Beasley",Operations,Utilities,8.65,Poor,Morganmouth,Medium,2023-04-07,ublair@example.com,Net 30,True,Medium,High,Biennial,Fixed
V0108,Ortega-Brooks,Marketing,Digital Ads,6.13,Poor,Lake Sandra,Large,2022-07-24,deckerchristopher@example.org,Net 45,False,High,Low,Annual,CPI Linked
V0109,"Rodgers, Cain and Hawkins",HR,Recruiting,5.84,Good,Elizabethchester,Medium,2023-03-03,uparrish@example.org,Net 45,False,Low,High,Biennial,Negotiated
V0110,Burke-Bell,IT,Hardware,5.14,Average,East Diane,Medium,2022-11-23,bellangela@example.org,Net 60,False,High,Low,Biennial,Negotiated
V0111,Andrews-Aguirre,IT,Cloud,8.21,Average,New Sarahview,Medium,2022-06-24,joshuafarmer@example.com,Net 45,True,High,Low,Biennial,Negotiated
V0112,Smith-Kane,Facilities,Maintenance,9.33,Good,Jonestown,Small,2022-08-12,nicholaschavez@example.org,Net 60,False,Low,Medium,Biennial,Fixed
V0113,Collins-Nguyen,Operations,Utilities,3.17,Good,North Ericton,Small,2023-11-07,nelsonebony@example.com,Net 30,True,High,Medium,Annual,Negotiated
V0114,"Ramos, Nelson and Fischer",Marketing,Events,5.48,Poor,West Russellport,Medium,2023-11-10,trose@example.org,Net 45,False,High,Medium,Biennial,Negotiated
V0115,Foster PLC,Operations,Logistics,6.69,Average,North Jamesborough,Small,2024-01-19,kathrynroberts@example.org,Net 45,True,Medium,Medium,Annual,CPI Linked
V0116,Jimenez Group,Marketing,Events,8.26,Poor,East Omar,Large,2023-11-30,vincentwhitaker@example.com,Net 45,False,Medium,High,Annual,Fixed
V0117,Sanders Ltd,Operations,Logistics,2.37,Poor,South Andrewland,Large,2024-04-01,barbara96@example.net,Net 30,True,Medium,High,Biennial,CPI Linked
V0118,"Butler, Wilson and Smith",Marketing,Digital Ads,9.73,Good,Georgemouth,Small,2024-03-09,christopher13@example.com,Net 60,False,Low,Low,Annual,Negotiated
V0119,"Morales, Miller and Harrell",IT,Hardware,5.97,Poor,Jeffreyburgh,Large,2022-07-31,schmidtjames@example.com,Net 45,False,High,Low,Annual,Negotiated
V0120,Luna-Fuentes,HR,Recruiting,5.11,Poor,East Curtis,Medium,2022-12-17,glennhernandez@example.net,Net 45,True,High,High,Annual,CPI Linked
V0121,Thompson Ltd,Operations,Utilities,4.75,Poor,Marshallshire,Large,2024-01-13,kmaldonado@example.net,Net 30,False,Low,High,Biennial,Fixed
V0122,"Downs, Morris and Maddox",IT,Software,2.58,Poor,Edwardland,Small,2023-06-01,ywelch@example.com,Net 60,True,Medium,Low,Annual,Negotiated
V0123,"Brown, Romero and Collins",Facilities,Cleaning,2.73,Poor,Johnsonstad,Medium,2024-03-08,chase19@example.net,Net 45,True,High,High,Biennial,Negotiated
V0124,"Cruz, Carpenter and Best",Facilities,Maintenance,4.52,Poor,South Reginashire,Medium,2023-10-21,marcalvarez@example.org,Net 45,True,Low,High,Annual,Fixed
V0125,Hayes LLC,Operations,Logistics,9.22,Average,New Debbieton,Small,2022-12-11,hritter@example.net,Net 45,True,Medium,High,Biennial,Fixed
V0126,"Moore, Watson and Campbell",Operations,Utilities,9.74,Poor,Schroederton,Medium,2024-02-05,cameron18@example.net,Net 60,False,High,Low,Annual,CPI Linked
V0127,Mitchell-Cummings,Facilities,Maintenance,7.85,Average,West Christopher,Large,2023-10-30,sabrinacollins@example.net,Net 30,True,High,Low,Biennial,Negotiated
V0128,"Bates, Anderson and Fletcher",IT,Hardware,1.25,Poor,West Angelicamouth,Large,2024-02-23,elizabethcalderon@example.net,Net 45,True,Low,Low,Biennial,Negotiated
V0129,"Gaines, Davis and Santiago",IT,Software,5.89,Poor,Andrewport,Large,2022-10-20,matthewmiranda@example.org,Net 45,True,Low,Medium,Annual,CPI Linked
V0130,Cooke and Sons,IT,Software,9.18,Poor,West Meganville,Large,2023-07-01,stanleynancy@example.net,Net 45,False,High,Medium,Biennial,Negotiated
V0131,Harper and Sons,Facilities,Maintenance,7.16,Good,East Marie,Medium,2024-01-21,jenniferwilliams@example.com,Net 30,True,Low,Low,Annual,CPI Linked
V0132,"Ball, Montes and Bishop",HR,Training,0.46,Good,Youngbury,Small,2023-01-28,mmckee@example.com,Net 45,True,High,Low,Biennial,Fixed
V0133,"Valentine, Joyce and Murray",IT,Software,9.66,Poor,Kimberlyhaven,Small,2023-07-16,mburch@example.net,Net 30,True,Low,Medium,Biennial,Negotiated
V0134,Salas Inc,IT,Software,4.15,Poor,Sawyerside,Large,2024-05-27,dawsonzachary@example.org,Net 30,True,Medium,Medium,Annual,Fixed
V0135,Miller-Martin,Operations,Logistics,3.13,Poor,Whiteheadberg,Large,2024-03-08,odavis@example.com,Net 60,False,Medium,Low,Annual,Fixed
V0136,Arias-Perry,Facilities,Maintenance,6.21,Average,Shawbury,Medium,2023-03-28,brooksanthony@example.org,Net 30,False,Medium,Medium,Biennial,Negotiated
V0137,"Santos, Moody and Taylor",Facilities,Cleaning,4.35,Good,Samanthafort,Medium,2023-11-24,katherineharrison@example.net,Net 30,False,Medium,Medium,Annual,Fixed
V0138,Bullock Inc,Operations,Logistics,0.23,Poor,Jasonberg,Medium,2023-08-02,srodriguez@example.org,Net 30,True,Low,Medium,Annual,Fixed
V0139,Martinez-Allen,Operations,Logistics,7.74,Average,Brownfort,Small,2023-09-08,chenbailey@example.net,Net 45,False,Medium,High,Biennial,Negotiated
V0140,Carter Inc,Facilities,Cleaning,3.67,Poor,Johnchester,Small,2022-10-25,millsmichael@example.net,Net 30,False,Medium,Low,Annual,Fixed
V0141,"Romero, Mcneil and Spencer",Operations,Logistics,5.79,Average,Markston,Medium,2023-10-08,qzavala@example.net,Net 30,False,High,Low,Biennial,Negotiated
V0142,Kelly Inc,Marketing,SEO,0.56,Poor,Johnville,Small,2024-01-22,dennis58@example.com,Net 45,False,Low,High,Biennial,CPI Linked
V0143,"Thompson, Maxwell and Marshall",Marketing,SEO,5.07,Poor,Welchberg,Small,2022-07-21,mjohnson@example.org,Net 45,False,Medium,High,Biennial,CPI Linked
V0144,Blackwell LLC,IT,Hardware,3.58,Poor,Zacharyside,Small,2023-06-04,benjamin34@example.com,Net 45,True,Medium,Low,Biennial,Fixed
V0145,Glenn LLC,Operations,Utilities,6.23,Average,Davidstad,Small,2023-05-07,ypaul@example.com,Net 30,False,Medium,Low,Biennial,Fixed
V0146,Crawford Group,Marketing,Digital Ads,7.11,Poor,Sandrahaven,Small,2022-12-26,acostachristian@example.net,Net 45,True,High,High,Biennial,CPI Linked
V0147,Gardner LLC,Operations,Logistics,5.85,Good,North Markport,Small,2023-01-26,bmorrison@example.org,Net 60,True,Low,Medium,Biennial,Negotiated
V0148,"Wallace, West and Acosta",Operations,Logistics,5.86,Good,Christinachester,Small,2023-01-01,jonesdana@example.com,Net 45,True,Low,High,Biennial,Fixed
V0149,"Owen, Shelton and Cisneros",IT,Cloud,2.86,Good,Port Cathy,Small,2024-01-29,ejohnson@example.org,Net 60,True,Medium,High,Biennial,CPI Linked
V0150,"Diaz, Reyes and Bradley",IT,Cloud,4.53,Poor,Lake Shannon,Medium,2023-03-17,scott19@example.org,Net 45,True,Medium,Low,Biennial,Negotiated
V0151,"Richardson, Edwards and Ramirez",Facilities,Cleaning,1.18,Good,North Jillfort,Medium,2023-07-09,hmcintyre@example.com,Net 45,False,Medium,Medium,Annual,Negotiated
V0152,Padilla-Lewis,HR,Recruiting,2.95,Good,Heatherfort,Large,2022-11-04,taylorcharles@example.org,Net 45,False,High,Medium,Biennial,CPI Linked
V0153,"Wallace, Miller and Fleming",Operations,Logistics,8.11,Good,Elizabethland,Small,2023-08-03,patricia22@example.com,Net 30,True,Medium,Medium,Biennial,CPI Linked
V0154,"Walker, Galloway and Conner",HR,Recruiting,3.29,Poor,Port Troy,Small,2023-03-09,tanner82@example.net,Net 60,True,Low,Medium,Annual,Fixed
V0155,Jones Group,IT,Cloud,2.2,Average,Foxchester,Medium,2024-03-02,martinezlogan@example.org,Net 30,True,Medium,Medium,Biennial,Negotiated
V0156,Owens-Holmes,Operations,Utilities,1.49,Good,Port Kimberly,Medium,2023-10-11,katrinaanderson@example.net,Net 60,False,Medium,Low,Annual,CPI Linked
V0157,Guerra PLC,Marketing,SEO,7.55,Good,West Fred,Large,2023-02-07,michaeleverett@example.com,Net 30,False,Low,High,Annual,CPI Linked
V0158,King Ltd,Facilities,Cleaning,5.29,Average,Davidport,Small,2023-09-22,shawgary@example.net,Net 45,True,Low,High,Biennial,CPI Linked
V0159,Jackson PLC,HR,Recruiting,7.99,Average,Meganshire,Medium,2022-07-03,millerstacy@example.net,Net 45,False,Low,High,Biennial,CPI Linked
V0160,Curtis-Wang,HR,Training,2.7,Average,Montgomerytown,Medium,2023-06-23,dawn47@example.org,Net 45,True,Low,High,Annual,CPI Linked
V0161,"Sullivan, Chavez and Barker",IT,Hardware,8.19,Average,South Robert,Medium,2023-05-28,matthewthomas@example.net,Net 30,False,High,Medium,Annual,Negotiated
V0162,Gross-Valencia,HR,Recruiting,0.57,Good,Andersonstad,Small,2023-07-06,floressteven@example.com,Net 30,False,High,High,Annual,Fixed
V0163,Wright-Davis,IT,Hardware,2.96,Good,Soniachester,Medium,2022-12-11,lisapeck@example.net,Net 60,True,High,High,Annual,Fixed
V0164,Lee-Moore,Facilities,Cleaning,8.5,Average,Jimenezport,Large,2023-06-23,davisphillip@example.com,Net 60,True,High,Medium,Annual,Fixed
V0165,Lewis LLC,HR,Training,8.36,Average,North Juanfort,Large,2023-01-09,booneryan@example.com,Net 60,True,High,High,Biennial,Negotiated
V0166,"Diaz, Powell and Williams",Operations,Utilities,9.91,Good,New Annastad,Medium,2023-08-05,charles87@example.net,Net 45,True,Low,Low,Annual,Negotiated
V0167,Bryan-Hanson,Facilities,Cleaning,8.08,Poor,East Theresafurt,Large,2023-03-18,angela52@example.org,Net 60,False,Medium,Low,Annual,Fixed
