contract_id,vendor_id,start_date,end_date,contract_value,payment_terms,renewal_option,price_escalation_clause,auto_renewal,termination_notice,sla_terms,penalty_clauses,renegotiation_opportunity,volume_discounts,preferred_rates
C00082,V0082,2022-12-24,2024-12-23,72168.41,Net 30,Auto,Negotiated,False,32 days,Custom,Moderate,False,True,False
C00083,V0083,2023-09-24,2025-09-23,42225.95,Net 45,Auto,CPI Linked,False,76 days,Standard,Strict,False,True,True
C00084,V0084,2023-05-12,2024-05-11,37872.6,Net 30,Manual,CPI Linked,True,51 days,Standard,Strict,False,True,True
C00085,V0085,2023-07-19,2024-07-18,42473.64,Net 30,Auto,CPI Linked,False,77 days,Standard,Moderate,True,False,False
C00086,V0086,2023-06-23,2024-06-22,63731.03,Net 30,Auto,Negotiated,True,68 days,Strict,Strict,False,False,False
C00087,V0087,2022-10-02,2023-10-02,54931.27,Net 45,Auto,Fixed,False,90 days,Standard,None,False,False,True
C00088,V0088,2022-11-03,2023-05-02,42053.6,Net 45,Auto,CPI Linked,True,39 days,Strict,None,True,False,True
C00089,V0089,2023-01-01,2023-06-30,57699.01,Net 45,Auto,Fixed,True,85 days,Custom,None,False,False,True
C00090,V0090,2024-01-25,2024-07-23,51456.16,Net 60,Auto,Fixed,False,81 days,Strict,None,True,True,True
C00091,V0091,2023-10-02,2024-10-01,64529.67,Net 45,Auto,Negotiated,False,65 days,Custom,Strict,True,False,False
C00092,V0092,2022-10-16,2023-04-14,39469.2,Net 60,Manual,CPI Linked,True,80 days,Standard,None,False,False,True
C00093,V0093,2024-01-02,2024-06-30,45085.07,Net 45,Auto,Negotiated,False,79 days,Custom,None,False,False,True
C00094,V0094,2023-03-13,2024-03-12,44118.38,Net 45,Auto,Fixed,False,61 days,Strict,Strict,False,True,False
C00095,V0095,2022-08-25,2024-08-24,28047.28,Net 45,Auto,CPI Linked,True,75 days,Custom,Strict,True,False,False
C00096,V0096,2023-10-19,2025-10-18,54441.8,Net 30,Auto,Fixed,False,63 days,Strict,None,False,True,False
C00097,V0097,2023-05-20,2023-11-16,53915.83,Net 30,Manual,Fixed,False,30 days,Strict,None,False,False,False
C00098,V0098,2022-06-27,2022-12-24,50076.7,Net 30,Auto,Fixed,False,38 days,Standard,Moderate,False,True,True
C00099,V0099,2022-10-27,2023-10-27,46481.19,Net 60,Auto,Fixed,True,44 days,Custom,Moderate,False,False,False
C00100,V0100,2024-02-03,2024-08-01,28769.44,Net 45,Auto,Negotiated,True,89 days,Standard,None,False,True,False
C00101,V0101,2022-06-04,2022-12-01,43690.32,Net 60,Manual,Negotiated,False,75 days,Strict,Strict,False,True,False
C00102,V0102,2023-09-02,2024-02-29,44859.28,Net 45,Auto,Fixed,True,87 days,Custom,Moderate,True,True,False
C00103,V0103,2023-09-06,2024-09-05,37965.84,Net 30,Auto,Fixed,True,53 days,Standard,Moderate,True,True,False
C00104,V0104,2022-07-19,2023-07-19,47580.71,Net 45,Manual,Negotiated,True,39 days,Custom,Strict,True,True,False
C00105,V0105,2022-07-23,2023-07-23,56060.76,Net 60,Manual,Negotiated,False,86 days,Custom,Moderate,False,False,True
C00106,V0106,2022-08-18,2023-02-14,78292.79,Net 30,Auto,Fixed,False,77 days,Standard,Strict,True,False,False
C00107,V0107,2023-04-07,2023-10-04,52618.67,Net 30,Manual,Fixed,True,57 days,Strict,Strict,True,True,True
C00108,V0108,2022-07-24,2023-07-24,53863.26,Net 45,Auto,CPI Linked,False,55 days,Standard,Moderate,False,False,False
C00109,V0109,2023-03-03,2024-03-02,48883.31,Net 45,Auto,Negotiated,True,78 days,Standard,Strict,False,True,True
C00110,V0110,2022-11-23,2024-11-22,21218.43,Net 60,Manual,Negotiated,False,78 days,Custom,Moderate,False,False,True
C00111,V0111,2022-06-24,2022-12-21,49602.29,Net 45,Manual,Negotiated,True,58 days,Strict,Moderate,False,False,True
C00112,V0112,2022-08-12,2023-02-08,50903.45,Net 60,Manual,Fixed,False,87 days,Standard,Moderate,False,False,True
C00113,V0113,2023-11-07,2025-11-06,86948.63,Net 30,Manual,Negotiated,True,58 days,Custom,Moderate,False,True,True
C00114,V0114,2023-11-10,2024-11-09,47114.59,Net 45,Auto,Negotiated,False,43 days,Custom,None,True,True,False
C00115,V0115,2024-01-19,2026-01-18,54523.21,Net 45,Auto,CPI Linked,True,75 days,Custom,Moderate,True,True,True
C00116,V0116,2023-11-30,2024-05-28,49479.32,Net 45,Manual,Fixed,True,84 days,Custom,Strict,False,False,False
C00117,V0117,2024-04-01,2024-09-28,32469.83,Net 30,Manual,CPI Linked,False,64 days,Custom,Strict,False,True,True
C00118,V0118,2024-03-09,2026-03-09,67142.34,Net 60,Manual,Negotiated,True,45 days,Custom,None,True,True,False
C00119,V0119,2022-07-31,2023-07-31,61279.0,Net 45,Auto,Negotiated,True,67 days,Custom,None,False,False,False
C00120,V0120,2022-12-17,2023-12-17,61865.48,Net 45,Manual,CPI Linked,True,36 days,Custom,None,False,True,True
C00121,V0121,2024-01-13,2025-01-12,36359.19,Net 30,Manual,Fixed,False,74 days,Standard,None,False,True,True
C00122,V0122,2023-06-01,2025-05-31,71041.91,Net 60,Auto,Negotiated,False,59 days,Strict,None,False,True,True
C00123,V0123,2024-03-08,2024-09-04,28972.23,Net 45,Manual,Negotiated,True,65 days,Custom,Strict,False,False,True
C00124,V0124,2023-10-21,2024-10-20,58802.86,Net 45,Auto,Fixed,False,35 days,Strict,Strict,False,True,False
C00125,V0125,2022-12-11,2023-12-11,82856.83,Net 45,Auto,Fixed,True,55 days,Custom,Moderate,True,False,False
C00126,V0126,2024-02-05,2026-02-04,35141.96,Net 60,Manual,CPI Linked,True,50 days,Custom,Strict,True,True,False
C00127,V0127,2023-10-30,2025-10-29,41505.53,Net 30,Auto,Negotiated,False,66 days,Custom,Moderate,False,False,True
C00128,V0128,2024-02-23,2024-08-21,51494.77,Net 45,Auto,Negotiated,False,72 days,Standard,Strict,True,True,True
C00129,V0129,2022-10-20,2023-04-18,42447.87,Net 45,Manual,CPI Linked,True,70 days,Strict,Moderate,True,False,True
C00130,V0130,2023-07-01,2025-06-30,26740.05,Net 45,Auto,Negotiated,False,57 days,Strict,None,False,False,True
C00131,V0131,2024-01-21,2025-01-20,51028.44,Net 30,Auto,CPI Linked,True,56 days,Custom,Strict,True,True,True
C00132,V0132,2023-01-28,2023-07-27,34065.44,Net 45,Auto,Fixed,True,53 days,Standard,None,True,False,True
C00133,V0133,2023-07-16,2024-01-12,57103.89,Net 30,Manual,Negotiated,False,68 days,Custom,None,True,True,False
C00134,V0134,2024-05-27,2025-05-27,36208.64,Net 30,Manual,Fixed,False,42 days,Strict,Moderate,False,False,False
C00135,V0135,2024-03-08,2025-03-08,73249.02,Net 60,Auto,Fixed,True,61 days,Custom,Strict,True,True,True
C00136,V0136,2023-03-28,2024-03-27,38251.2,Net 30,Manual,Negotiated,False,70 days,Strict,Moderate,True,False,False
C00137,V0137,2023-11-24,2025-11-23,45169.08,Net 30,Manual,Fixed,False,81 days,Custom,Moderate,False,True,False
C00138,V0138,2023-08-02,2025-08-01,62202.76,Net 30,Auto,Fixed,False,35 days,Custom,None,True,False,True
C00139,V0139,2023-09-08,2025-09-07,31537.04,Net 45,Manual,Negotiated,False,36 days,Strict,Moderate,True,False,False
C00140,V0140,2022-10-25,2023-04-23,53411.9,Net 30,Manual,Fixed,False,47 days,Custom,None,False,True,True
C00141,V0141,2023-10-08,2024-04-05,69607.14,Net 30,Auto,Negotiated,False,34 days,Custom,Strict,True,True,False
C00142,V0142,2024-01-22,2026-01-21,25887.75,Net 45,Manual,CPI Linked,True,45 days,Strict,None,False,False,True
C00143,V0143,2022-07-21,2023-07-21,52769.51,Net 45,Auto,CPI Linked,True,70 days,Custom,Moderate,False,True,True
C00144,V0144,2023-06-04,2024-06-03,53898.24,Net 45,Manual,Fixed,True,34 days,Custom,Strict,False,True,False
C00145,V0145,2023-05-07,2023-11-03,61727.34,Net 30,Manual,Fixed,True,38 days,Strict,Strict,True,False,False
C00146,V0146,2022-12-26,2023-12-26,31445.74,Net 45,Auto,CPI Linked,True,90 days,Strict,Strict,True,True,False
C00147,V0147,2023-01-26,2025-01-25,30193.15,Net 60,Manual,Negotiated,False,67 days,Strict,None,False,False,False
C00148,V0148,2023-01-01,2023-06-30,57829.12,Net 45,Auto,Fixed,False,67 days,Strict,Moderate,False,True,True
C00149,V0149,2024-01-29,2024-07-27,54454.77,Net 60,Auto,CPI Linked,False,76 days,Standard,Moderate,True,False,False
C00150,V0150,2023-03-17,2024-03-16,53757.39,Net 45,Manual,Negotiated,True,73 days,Strict,Strict,False,True,False
C00151,V0151,2023-07-09,2025-07-08,55196.72,Net 45,Manual,Negotiated,True,46 days,Custom,None,True,False,False
C00152,V0152,2022-11-04,2024-11-03,39799.63,Net 45,Manual,CPI Linked,False,77 days,Custom,Moderate,False,True,True
C00153,V0153,2023-08-03,2025-08-02,53483.81,Net 30,Manual,CPI Linked,True,49 days,Standard,None,True,False,False
C00154,V0154,2023-03-09,2024-03-08,54396.09,Net 60,Manual,Fixed,False,30 days,Custom,None,False,False,False
C00155,V0155,2024-03-02,2025-03-02,39284.73,Net 30,Auto,Negotiated,True,41 days,Strict,Moderate,False,True,True
C00156,V0156,2023-10-11,2024-04-08,77986.62,Net 60,Auto,CPI Linked,False,47 days,Standard,None,True,True,True
C00157,V0157,2023-02-07,2024-02-07,57107.49,Net 30,Auto,CPI Linked,False,36 days,Standard,None,True,True,True
C00158,V0158,2023-09-22,2024-03-20,32130.45,Net 45,Auto,CPI Linked,True,50 days,Custom,Strict,True,False,False
C00159,V0159,2022-07-03,2024-07-02,59848.3,Net 45,Manual,CPI Linked,False,82 days,Strict,Moderate,True,False,True
C00160,V0160,2023-06-23,2023-12-20,35379.77,Net 45,Manual,CPI Linked,True,49 days,Custom,Strict,True,True,True
C00161,V0161,2023-05-28,2023-11-24,61806.27,Net 30,Manual,Negotiated,True,65 days,Strict,Moderate,True,True,False
C00162,V0162,2023-07-06,2024-01-02,67378.93,Net 30,Manual,Fixed,True,38 days,Custom,Moderate,True,False,True
C00163,V0163,2022-12-11,2023-12-11,37689.77,Net 60,Auto,Fixed,False,82 days,Custom,Moderate,False,False,False
C00164,V0164,2023-06-23,2024-06-22,64450.64,Net 60,Auto,Fixed,False,53 days,Standard,Strict,True,False,True
C00165,V0165,2023-01-09,2025-01-08,56191.71,Net 60,Auto,Negotiated,True,36 days,Standard,None,True,True,True
C00166,V0166,2023-08-05,2025-08-04,62330.9,Net 45,Auto,Negotiated,False,44 days,Custom,Strict,True,False,False
C00167,V0167,2023-03-18,2023-09-14,78451.89,Net 60,Auto,Fixed,True,70 days,Standard,None,True,True,True
C00168,V0168,2023-06-04,2024-06-03,46319.18,Net 45,Auto,Negotiated,True,57 days,Standard,None,True,False,False
C00169,V0169,2023-09-06,2024-03-04,38693.96,Net 60,Manual,CPI Linked,True,76 days,Standard,Moderate,False,True,False
C00170,V0170,2023-08-29,2024-08-28,36657.28,Net 45,Manual,Fixed,False,76 days,Standard,Moderate,True,False,True
C00171,V0171,2023-06-10,2025-06-09,37762.85,Net 45,Auto,CPI Linked,False,46 days,Strict,None,True,False,False
C00172,V0172,2022-10-28,2023-04-26,48843.47,Net 45,Manual,CPI Linked,True,38 days,Custom,Moderate,False,False,True
C00173,V0173,2023-12-02,2024-12-01,55117.28,Net 30,Manual,CPI Linked,True,49 days,Custom,Moderate,True,True,True
C00174,V0174,2023-02-22,2025-02-21,54150.36,Net 30,Manual,Fixed,False,48 days,Strict,None,False,False,True
C00175,V0175,2024-01-21,2025-01-20,62407.75,Net 30,Auto,Fixed,True,53 days,Strict,Strict,False,False,True
C00176,V0176,2023-11-09,2024-05-07,50195.03,Net 60,Auto,Fixed,True,67 days,Standard,Moderate,False,False,False
C00177,V0177,2024-01-03,2026-01-02,71803.01,Net 60,Auto,CPI Linked,True,87 days,Custom,Moderate,False,True,False
C00178,V0178,2024-05-05,2025-05-05,46030.15,Net 45,Manual,Negotiated,True,30 days,Strict,Strict,False,True,False
C00179,V0179,2024-05-23,2026-05-23,90802.54,Net 30,Manual,CPI Linked,True,44 days,Strict,Strict,False,True,False
C00180,V0180,2024-05-07,2024-11-03,59385.01,Net 30,Auto,Fixed,True,75 days,Standard,Moderate,True,False,False
C00181,V0181,2024-05-27,2025-05-27,37142.64,Net 60,Manual,Negotiated,True,47 days,Strict,Strict,False,True,False
C00182,V0182,2024-05-23,2024-11-19,33936.61,Net 30,Manual,CPI Linked,False,65 days,Custom,Strict,True,True,False
C00183,V0183,2023-02-13,2024-02-13,57237.09,Net 30,Auto,Fixed,True,89 days,Strict,Moderate,True,True,True
C00184,V0184,2022-10-16,2023-04-14,46648.06,Net 30,Auto,CPI Linked,True,33 days,Strict,None,False,False,False
C00185,V0185,2024-05-28,2024-11-24,60710.01,Net 60,Auto,CPI Linked,False,70 days,Custom,None,True,False,False
C00186,V0186,2022-07-20,2023-01-16,57098.56,Net 30,Auto,Fixed,False,44 days,Standard,Moderate,False,True,True
C00187,V0187,2023-03-14,2024-03-13,48907.57,Net 60,Auto,CPI Linked,True,53 days,Custom,Strict,True,True,True
C00188,V0188,2024-01-11,2025-01-10,37298.09,Net 60,Auto,CPI Linked,True,64 days,Standard,Moderate,False,False,False
C00189,V0189,2022-08-28,2023-08-28,27277.29,Net 30,Auto,Fixed,False,58 days,Custom,None,False,True,False
C00190,V0190,2023-12-10,2024-12-09,43302.28,Net 45,Auto,CPI Linked,False,40 days,Custom,Strict,False,True,False
C00191,V0191,2023-08-10,2024-02-06,62845.98,Net 60,Auto,Negotiated,False,48 days,Strict,Strict,False,False,True
C00192,V0192,2023-04-27,2024-04-26,53211.41,Net 30,Auto,Fixed,False,37 days,Custom,Strict,True,True,True
C00193,V0193,2023-12-20,2024-06-17,31313.92,Net 45,Manual,Fixed,False,72 days,Standard,Moderate,False,True,False
C00194,V0194,2022-09-02,2023-09-02,52597.71,Net 45,Manual,Negotiated,True,70 days,Custom,Moderate,True,False,True
C00195,V0195,2023-04-27,2024-04-26,55779.76,Net 30,Manual,Negotiated,False,83 days,Standard,None,False,False,False
C00196,V0196,2023-09-22,2025-09-21,36742.14,Net 30,Auto,Negotiated,True,43 days,Strict,None,True,True,False
C00197,V0197,2023-05-08,2024-05-07,52305.88,Net 30,Manual,Fixed,False,87 days,Custom,None,True,False,False
C00198,V0198,2023-08-23,2025-08-22,50873.13,Net 45,Auto,Fixed,True,55 days,Custom,Moderate,True,True,False
C00199,V0199,2022-07-19,2023-07-19,32855.45,Net 30,Manual,Negotiated,True,88 days,Strict,Moderate,False,True,False
C00200,V0200,2023-11-24,2024-11-23,55366.81,Net 60,Manual,Negotiated,False,61 days,Custom,None,False,True,True
C00201,V0201,2024-03-29,2025-03-29,58411.77,Net 45,Auto,Fixed,True,45 days,Custom,Moderate,False,False,True
C00202,V0202,2022-11-06,2023-11-06,66245.77,Net 30,Manual,CPI Linked,True,66 days,Strict,None,True,False,True
C00203,V0203,2023-12-16,2025-12-15,65807.03,Net 30,Manual,CPI Linked,False,36 days,Standard,None,False,False,True
C00204,V0204,2024-01-08,2026-01-07,29334.96,Net 45,Manual,Fixed,False,76 days,Strict,None,False,False,False
C00205,V0205,2023-10-18,2025-10-17,35932.62,Net 45,Manual,Negotiated,False,41 days,Strict,Strict,True,True,True
C00206,V0206,2024-05-12,2026-05-12,57725.53,Net 45,Auto,CPI Linked,True,43 days,Custom,Strict,True,False,True
C00207,V0207,2023-08-25,2024-02-21,57706.79,Net 45,Auto,Negotiated,False,74 days,Strict,Strict,False,True,False
C00208,V0208,2022-12-18,2024-12-17,57725.72,Net 45,Manual,CPI Linked,False,45 days,Strict,None,False,True,True
C00209,V0209,2023-06-16,2025-06-15,107790.97,Net 60,Auto,Fixed,True,41 days,Standard,Strict,True,False,False
C00210,V0210,2024-03-17,2024-09-13,58563.36,Net 45,Auto,Negotiated,True,56 days,Custom,Strict,False,False,False
C00211,V0211,2022-06-07,2023-06-07,67033.48,Net 45,Auto,Fixed,True,78 days,Custom,None,True,True,True
C00212,V0212,2022-08-24,2023-02-20,64310.03,Net 60,Manual,Fixed,False,51 days,Standard,None,True,False,True
C00213,V0213,2023-08-14,2024-08-13,59770.87,Net 60,Auto,CPI Linked,True,35 days,Strict,Strict,False,False,True
C00214,V0214,2023-08-05,2025-08-04,45270.96,Net 30,Manual,Negotiated,False,40 days,Strict,Moderate,False,False,True
C00215,V0215,2024-04-27,2026-04-27,61384.54,Net 30,Manual,Fixed,True,63 days,Custom,None,False,False,True
C00216,V0216,2023-10-26,2024-04-23,38407.62,Net 30,Auto,Negotiated,True,66 days,Standard,Moderate,False,True,True
C00217,V0217,2022-10-06,2023-04-04,46447.72,Net 60,Auto,CPI Linked,True,75 days,Custom,Strict,False,False,False
C00218,V0218,2022-07-13,2024-07-12,42719.55,Net 60,Auto,CPI Linked,False,33 days,Custom,Moderate,False,False,True
C00219,V0219,2024-01-31,2025-01-30,51228.11,Net 30,Auto,Fixed,True,61 days,Standard,Moderate,False,False,False
C00220,V0220,2024-02-11,2026-02-10,84719.88,Net 30,Auto,Fixed,True,70 days,Custom,None,False,True,False
C00221,V0221,2022-08-12,2023-08-12,21991.02,Net 30,Auto,Negotiated,False,87 days,Strict,Strict,False,True,False
C00222,V0222,2023-07-05,2025-07-04,60293.9,Net 60,Auto,Fixed,False,35 days,Custom,Moderate,False,False,True
